spotify_id,daily_rank,daily_movement,weekly_movement,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0bYg9bo50gSsH3LtXe2SQn,1,0,0,,100,FALSE,241106,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
06qMRF18gwbOYYbnP2du6i,2,0,0,,89,FALSE,265960,0.733,0.598,2,-8.228,1,0.0278,0.212,3.71E-06,0.156,0.935,107.732,4
2EjXfH91m7f8HiJN1yQg97,3,0,1,,98,FALSE,126266,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,4
3rUGC1vUpkDG9CZFHMur1t,4,5,-1,,99,TRUE,131872,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
7vQbuQcyTflfCIOu3Uzzya,5,-1,4,,94,FALSE,130973,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
3vkCueOmm7xQDoJ17W1Pm3,6,5,-1,,98,FALSE,137773,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
0lizgQ7Qw35od7CYaoMBZb,7,-2,43,,96,FALSE,204093,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,4
1rv46mRwDqMEhOBZ7vODg3,8,-2,2,,87,FALSE,207199,0.331,0.223,4,-11.274,1,0.0338,0.88,5.92E-06,0.343,0.355,92.896,3
1BxfuPKGuaTgP7aM0Bbdwr,9,6,-1,,98,FALSE,178426,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,4
1IcR6RlgvDczfvoWJSSY2A,10,-3,3,,79,FALSE,151000,0.234,0.526,2,-11.656,1,0.0411,0.871,2.34E-06,0.122,0.649,201.739,3
4xhsWYTOGcal8zt0J161CU,11,6,-4,,97,TRUE,138411,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19E-06,0.0937,0.606,104.983,4
7uoFMmxln0GPXQ0AcCBXRq,12,-2,2,,94,FALSE,165900,0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,3
2uFaJJtFpPDc5Pa95XzTvg,13,-5,2,,95,FALSE,117146,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45E-06,0.175,0.701,134.009,4
7CyPwkp0oE8Ro9Dd5CUDjW,14,4,-3,,94,FALSE,244684,0.522,0.641,8,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,4
3YZE5qDV7u1ZD1gZc47ZeR,15,-3,7,,86,FALSE,229640,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99E-05,0.214,0.689,159.878,4
6tjituizSxwSmBB5vtgHZE,16,-3,8,,83,FALSE,119786,0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,4
2HRgqmZQC0MC7GeNuDIXHN,17,3,-5,,90,TRUE,183550,0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,4
0R6NfOiLzLj4O5VbYSJAjf,18,3,32,,88,FALSE,172264,0.751,0.819,11,-4.372,0,0.0409,0.255,0,0.236,0.697,131.842,3
0oPdaY4dXtc3ZsaG17V972,19,-5,13,,88,FALSE,182066,0.513,0.831,2,-9.004,1,0.0383,0.55,0,0.336,0.963,148.837,4
56y1jOTK0XSvJzVv9vHQBK,20,2,-1,,88,TRUE,230480,0.864,0.556,2,-7.683,0,0.194,0.255,3.85E-06,0.112,0.726,99.974,4
5XeFesFbtLpXzIVDNQP22n,21,4,0,,95,FALSE,183956,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
7fUYUcWy853HS8YJn0b3Sr,22,-6,12,,83,FALSE,181266,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21E-06,0.316,0.853,91.751,4
5RqSsdzTNPX1uzkmlHCFvK,23,0,-3,,93,TRUE,172797,0.841,0.738,7,-7.455,0,0.307,0.52,0,0.0892,0.484,169.918,4
2HafqoJbgXdtjwCOvNEF14,24,7,-7,,97,FALSE,184061,0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,4
7iQXYTyuG13aoeHxGG28Nh,25,-1,-7,,96,TRUE,162767,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16E-05,0.179,0.345,96.057,4
5mjYQaktjmjcMKcUIcqz4s,26,6,-3,,96,FALSE,172964,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,4
7xapw9Oy21WpfEcib2ErSA,27,-8,8,,92,FALSE,182946,0.657,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,4
2KslE17cAJNHTsI2MI0jb2,28,6,-12,,97,FALSE,206019,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4
5aIVCx5tnk0ntmdiinnYvw,29,7,-3,,95,FALSE,200255,0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
6CvTEtGagmzQvkUzzyKR9k,30,-1,-5,,95,TRUE,143327,0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,4
6uIIdjYTxxpWOyWuVXrKQO,31,-3,-3,,94,TRUE,191466,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11E-06,0.138,0.937,124.934,3
5PyDJG7SQRgWXefgexqIge,32,6,-5,,84,TRUE,265360,0.755,0.687,8,-6.247,0,0.101,0.183,0.000177,0.125,0.381,123.01,4
7bywjHOc0wSjGGbj04XbVi,33,11,17,,88,FALSE,196800,0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4
0mflMxspEfB0VbI1kyLiAv,34,12,-3,,93,FALSE,182346,0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,4
1kuGVB7EU95pJObxwvfwKS,35,4,-5,,94,TRUE,219724,0.511,0.532,5,-5.745,1,0.0578,0.177,0,0.291,0.35,138.005,4
7MXVkk9YMctZqd1Srtv4MB,36,9,-7,,94,TRUE,230453,0.679,0.587,7,-7.015,1,0.276,0.141,6.35E-06,0.137,0.486,186.003,4
5XVdHRf4CAJ2Jm0uMIy5qY,37,5,13,,90,TRUE,156345,0.778,0.835,11,-3.598,0,0.0767,0.152,0,0.109,0.666,140.082,4
1odExI7RdWc4BT515LTAwj,38,12,0,,94,FALSE,212953,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
77khP2fIVhSW23NwxrRluh,39,-9,11,,91,FALSE,135533,0.683,0.375,0,-13.056,1,0.0303,0.579,0,0.076,0.888,140.467,4
4bw8mcDUSRWfQo63ZTYRnU,40,3,-4,,90,TRUE,142334,0.909,0.762,9,-3.974,1,0.0643,0.434,0,0.0856,0.843,101.987,3
